id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,77.82232201,1,1
2,1,81.0774515,1,2
3,1,75.87727186,1,3
4,1,71.61531402,1,4
5,1,67.05198862,1,5
6,1,74.41742104,1,6
7,1,66.75634554,1,7
8,1,76.37834844,1,8
9,1,68.23333085,1,9
10,1,60.38946465,1,10
11,1,62.04060237,1,11
12,1,71.01824281,1,12
13,1,72.9925931,1,13
14,1,60.23850418,1,14
15,1,65.64896006,1,15
16,1,67.80719325,1,16
17,1,58.87543034,1,17
18,1,53.56636652,1,18
19,1,69.94397866,1,19
20,1,50.60906161,1,20
21,1,50.8796367,1,21
22,1,58.58529099,1,22
23,1,50.71587045,1,23
24,1,47.92984945,1,24
25,1,50.58005653,1,25
26,1,47.06873408,1,26
27,1,46.26448286,1,27
28,1,61.43013739,1,28
29,1,54.82337402,1,29
30,1,55.67354691,1,30
31,1,56.60751205,1,31
32,1,54.05345907,1,32
33,1,61.10380904,1,33
34,1,46.3367124,1,34
35,1,59.38922505,1,35
36,1,58.88401995,1,36
37,1,56.59919099,1,37
38,1,47.60526343,1,38
39,1,55.45147455,1,39
40,1,41.01478537,1,40
41,1,55.59225539,1,41
42,1,41.66135056,1,42
43,1,49.97762069,1,43
44,1,50.45429728,1,44
45,1,51.95246548,1,45
46,1,45.77099898,1,46
47,1,53.20686899,1,47
48,1,53.68244305,1,48
49,1,41.00283508,1,49
50,1,57.3498579,1,50
51,1,38.82083988,1,51
52,1,51.20969625,1,52
53,1,39.84139895,1,53
54,1,50.7626807,1,54
55,1,55.49810259,1,55
56,1,45.43446445,1,56
57,1,46.34290201,1,57
58,1,46.65100752,1,58
59,1,45.10974964,1,59
60,1,52.0408788,1,60
61,1,40.80686715,1,61
62,1,46.68938698,1,62
63,1,57.73228832,1,63
64,1,43.69806992,1,64
65,1,56.94860678,1,65
66,1,44.64780915,1,66
67,1,53.94300665,1,67
68,1,48.24265922,1,68
69,1,50.61995283,1,69
70,1,55.18060016,1,70
71,1,46.24236554,1,71
72,1,58.45829091,1,72
73,1,54.31531888,1,73
74,1,59.92703448,1,74
75,1,63.2425163,1,75
76,1,51.67182243,1,76
77,1,53.29426724,1,77
78,1,56.54526318,1,78
79,1,67.01583892,1,79
80,1,56.28496081,1,80
81,1,54.43158453,1,81
82,1,61.25858653,1,82
83,1,71.8390318,1,83
84,1,66.14193176,1,84
85,1,64.46880532,1,85
86,1,63.95491492,1,86
87,1,66.17378124,1,87
88,1,68.11520463,1,88
89,1,59.7901559,1,89
90,1,65.83779345,1,90
91,1,66.08733509,1,91
92,1,62.39335052,1,92
93,1,81.3503276,1,93
94,1,76.03321981,1,94
95,1,78.40070793,1,95
96,1,66.72141504,1,96
97,1,83.50890001,1,97
98,1,73.96526909,1,98
99,1,71.30126213,1,99
100,1,73.14286071,1,100
101,1,86.18066766,2,1
102,1,78.45027889,2,2
103,1,76.11286118,2,3
104,1,72.21273775,2,4
105,1,79.41011922,2,5
106,1,76.57446572,2,6
107,1,74.55727843,2,7
108,1,60.15629519,2,8
109,1,77.70958327,2,9
110,1,66.39332359,2,10
111,1,69.92604062,2,11
112,1,65.96927708,2,12
113,1,62.41288994,2,13
114,1,56.75047902,2,14
115,1,65.62441895,2,15
116,1,61.82465205,2,16
117,1,63.27158778,2,17
